"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","326","Create user with missing password","","Tue Dec 03 15:20:23 CET 2024","passed","Tue Dec 03 15:20:23 CET 2024","","UserTests","UserTests","createUserWithMissingPassword"
"","1949","Fail to create order with invalid ingredient hash","","Tue Dec 03 15:19:51 CET 2024","passed","Tue Dec 03 15:19:53 CET 2024","","CreateOrderTests","CreateOrderTests","failToCreateOrderWithInvalidIngredientHash"
"","929","Login with invalid password","","Tue Dec 03 15:20:08 CET 2024","passed","Tue Dec 03 15:20:09 CET 2024","","LoginTests","LoginTests","loginWithInvalidPassword"
"","948","Cannot create two identical users","","Tue Dec 03 15:20:23 CET 2024","passed","Tue Dec 03 15:20:24 CET 2024","","UserTests","UserTests","createDuplicateUser"
"","811","Login with invalid email","","Tue Dec 03 15:20:07 CET 2024","passed","Tue Dec 03 15:20:08 CET 2024","","LoginTests","LoginTests","loginWithInvalidEmail"
"","2029","Fail to create order without authorization","","Tue Dec 03 15:19:53 CET 2024","failed","Tue Dec 03 15:19:55 CET 2024","","CreateOrderTests","CreateOrderTests","failToCreateOrderWithoutAuthorization"
"","1872","Fail to update email without authorization","","Tue Dec 03 15:20:10 CET 2024","passed","Tue Dec 03 15:20:12 CET 2024","","UpdateUserTests","UpdateUserTests","failToUpdateUserEmailWithoutAuthorization"
"","1904","Update user email with authorization","","Tue Dec 03 15:20:20 CET 2024","passed","Tue Dec 03 15:20:22 CET 2024","","UpdateUserTests","UpdateUserTests","updateUserEmailWithAuthorization"
"","439","Create unique user","","Tue Dec 03 15:20:22 CET 2024","passed","Tue Dec 03 15:20:22 CET 2024","","UserTests","UserTests","createUniqueUser"
"","2089","Update user password with authorization","","Tue Dec 03 15:20:14 CET 2024","passed","Tue Dec 03 15:20:16 CET 2024","","UpdateUserTests","UpdateUserTests","updateUserPasswordWithAuthorization"
"","380","Create user with missing name","","Tue Dec 03 15:20:22 CET 2024","passed","Tue Dec 03 15:20:23 CET 2024","","UserTests","UserTests","createUserWithMissingName"
"","5191","Fail to create order without ingredients","","Tue Dec 03 15:19:46 CET 2024","passed","Tue Dec 03 15:19:51 CET 2024","","CreateOrderTests","CreateOrderTests","failToCreateOrderWithoutIngredients"
"","1811","Login with valid credentials","","Tue Dec 03 15:20:09 CET 2024","passed","Tue Dec 03 15:20:10 CET 2024","","LoginTests","LoginTests","loginWithValidCredentials"
"","4142","Get orders for authorized user","","Tue Dec 03 15:20:03 CET 2024","passed","Tue Dec 03 15:20:07 CET 2024","","GetOrdersTests","GetOrdersTests","getOrdersForAuthorizedUser"
"","4016","Fail to get orders without authorization","","Tue Dec 03 15:19:59 CET 2024","passed","Tue Dec 03 15:20:03 CET 2024","","GetOrdersTests","GetOrdersTests","failToGetOrdersWithoutAuthorization"
"","1760","Fail to update password without authorization","","Tue Dec 03 15:20:12 CET 2024","passed","Tue Dec 03 15:20:14 CET 2024","","UpdateUserTests","UpdateUserTests","failToUpdateUserPasswordWithoutAuthorization"
"","1901","Fail to update name without authorization","","Tue Dec 03 15:20:18 CET 2024","passed","Tue Dec 03 15:20:20 CET 2024","","UpdateUserTests","UpdateUserTests","failToUpdateUserNameWithoutAuthorization"
"","3673","Create order with authorization and valid ingredients","","Tue Dec 03 15:19:55 CET 2024","passed","Tue Dec 03 15:19:59 CET 2024","","CreateOrderTests","CreateOrderTests","createOrderWithAuthorizationAndValidIngredients"
"","1927","Update user name with authorization","","Tue Dec 03 15:20:16 CET 2024","passed","Tue Dec 03 15:20:18 CET 2024","","UpdateUserTests","UpdateUserTests","updateUserNameWithAuthorization"
"","372","Create user with missing Email","","Tue Dec 03 15:20:24 CET 2024","passed","Tue Dec 03 15:20:24 CET 2024","","UserTests","UserTests","createUserWithMissingEmail"
